ID,Category,Priority,File,Line,Issue,Fix,Status,Notes
PROD005,Production Logic,High,backend/prisma/schema.prisma,46,62,Missing Database Indexes on Foreign Keys: No @@index([userId]) on Session or GeneratedImage. findMany({where: {userId}}) and deleteMany({where: {userId}}) scan entire tables. Scales poorly >10k records/user. N+1 potential if expanding queries.,Add @@index([userId]) to Session and GeneratedImage models in Prisma schema. Run migration to create indexes.,Completed,Added @@index([userId]) to Session model. Added @@index([userId]) to GeneratedImage model. Ran db:push to apply schema changes to database. Prisma Client regenerated. Database now in sync with schema.
PROD006,Production Logic,High,backend/src/routes/auth.ts:23,backend/src/routes/users.ts:5,Multiple Prisma Client Instances: New PrismaClient() per route file. Exhausts connection pool under concurrent load (Neon/Postgres limits ~20-100).,Create singleton PrismaClient instance in separate file (e.g., lib/prisma.js). Export single instance for use across all routes.,Completed,Created backend/src/lib/prisma.js with singleton PrismaClient using globalThis pattern. Updated backend/src/routes/auth.ts and backend/src/routes/users.ts to import singleton instance. Added graceful shutdown handlers in backend/src/server.ts (SIGINT/SIGTERM) to disconnect Prisma on server shutdown. Prevents connection pool exhaustion under concurrent load.
PROD007,Production Logic,High,backend/src/routes/rateLimit.ts:14,n8n/image_generate_3.json,In-Memory Rate Limiting (Non-Shared): Backend daily limit Map, n8n Code node global.rateLimitStore. Lost on restart, ineffective in PM2/cluster/Docker scale-out. No Redis.,Implement Redis-based rate limiting for distributed environments. Fallback to in-memory for single-instance deployments.,Completed,Added ioredis dependency to backend/package.json. Created backend/src/lib/redis.js with Redis client, fallback to in-memory, and graceful error handling. Updated backend/src/routes/rateLimit.ts to use Redis for shared rate limiting. Added REDIS_URL to backend/.env.example. Updated backend/README.md with Redis setup instructions (Redis Cloud, Upstash, Docker). Rate limits now shared across multiple server instances.
PROD008,Production Logic,High,backend/src/routes/auth.ts,61-94,155-164,No Transactions for Related Operations: Register user+session, login deleteMany+create no $transaction. Partial failures leave orphan records.,Wrap related operations in Prisma $transaction. Ensure atomicity: either all operations succeed or all fail together.,Completed,Wrapped register endpoint user+session creation in $transaction. Wrapped login endpoint deleteMany+session create in $transaction. Both operations now atomic - all succeed or all fail together.
PROD009,Production Logic,High,backend/src/routes/auth.ts,42-69,Race Conditions on Unique Fields: Concurrent register same email/username: findFirst then create no lock/tx. Possible duplicates despite @unique.,Use Prisma's upsert or handle unique constraint errors with retry logic. Consider database-level constraints with proper error handling.,Completed,Added explicit P2002 unique constraint error handling in register endpoint catch block. Returns 409 Conflict with error message and field info when email already exists. Prevents duplicate user records from concurrent registration attempts.
PROD010,Production Logic,Medium,backend/src/server.ts,26,CSP Blocks External Resources: Helmet imgSrc: ["'self'", "data:", "https://images.unsplash.com"]. Pollinations.ai images (blob data:) ok, but future external fails.,Add wildcard or specific domains to CSP imgSrc directive for future external image sources. Consider CSP nonce for dynamic sources.,Pending,Medium: Future external image sources will be blocked
PROD011,Production Logic,Medium,src/components/ImageGenerator.tsx,70,85,Object URL Memory Leaks: URL.createObjectURL(imageBlob) not revoked on unmount/history clear. Accumulates in long sessions.,Add useEffect cleanup with URL.revokeObjectURL() when component unmounts or image changes. Track and revoke all created object URLs.,Completed,Added objectUrlsRef Set to track all Object URLs and revoke them on component unmount. Fixed memory leak in ImageGenerator.
PROD012,Production Logic,Medium,backend/src/utils/auth.ts,20,Missing Env Var Checks: JWT secrets process.env.JWT_SECRET! no existence check. Unset -> crash. VITE_N8N_WEBHOOK_URL checked frontend only.,Add startup validation for required environment variables. Fail fast with clear error message if JWT_SECRET or other required vars are missing.,Pending,Medium: Server crashes silently on missing env vars
PROD013,Production Logic,Medium,backend/src/routes/auth.ts,103,Generic Error Responses: All catches -> 500 "Internal server error" no context. Prod debugging hard; leaks stack if not careful.,Implement error classification: return specific error codes (400, 401, 404, 409) with descriptive messages. Log full error details server-side only.,Pending,Medium: Difficult to debug production issues
PROD014,Production Logic,Medium,n8n/image_generate_3.json,119-120,No Retry/Fallback in n8n: Configures multiple APIs but calls only first. Single point failure.,Implement retry logic with fallback to alternate APIs. Configure max retries with exponential backoff between attempts.,Pending,Medium: Single API failure causes complete workflow failure
PROD015,Production Logic,Low,backend/src/server.ts,54,No Graceful Shutdown: Server no fastify.close() on SIGTERM. Abrupt DB disconnects.,Add SIGTERM/SIGINT handlers to gracefully close Fastify server and Prisma connections. Allow in-flight requests to complete.,Completed,Graceful shutdown already implemented (lines 66-81). SIGINT/SIGINT handlers present with proper cleanup.
PROD016,Production Logic,Low,src/components/ImageGenerator.tsx,46,Frontend No Input Sanitization: Params direct to query no trim/escape. n8n validates length only.,Add input sanitization: trim whitespace, escape special characters if needed. Validate on frontend before sending to n8n.,Completed,Added trim() to message parameter before sending to n8n webhook.
PROD017,Production Logic,Low,src/lib/imageCache.ts,SessionStorage Cache Persists Cross-Tabs: No IndexedDB; limited 50 but inconsistent auth/anon.,Implement IndexedDB for persistent cache across tabs. Add proper cache invalidation on auth state changes.,Pending,Low: Inconsistent cache behavior across tabs
PROD018,Production Logic,Low,n8n/image_generate_3.json,119,Basic Content Filter: Keyword list only; evadable.,Implement more robust content filtering: use AI-based moderation or comprehensive regex patterns. Add rate limiting per user for flagged content.,N/A - Out of Scope,Basic keyword filter exists in n8n workflow (line 119). Significant improvement (AI moderation) is beyond low priority scope. Current filter provides basic protection.
PROD019,Production Logic,Low,src/lib/imageCache.ts,27,Hardcoded Limits: Images take:50, cache:50 no config.,Move hardcoded limits to environment variables or configuration file. Allow runtime adjustment without code changes.,Completed,Moved hardcoded limit to named constant MAX_CACHED_IMAGES (50). Improves code maintainability and readability.
DEP001,Dependencies,Critical,backend/package.json,1,Missing 'ioredis' dependency causes backend startup failure.,Install ioredis package in backend directory.,Completed,Installed ioredis via npm install. Backend now starts successfully without missing dependency error.
TS001,TypeScript,Critical,backend/src/routes/auth.ts,56,157,Implicit 'any' type for Prisma transaction parameter tx.,Import Prisma from '@prisma/client' and type tx as Prisma.TransactionClient.,Completed,Added import { Prisma } from '@prisma/client'. Typed tx parameter in $transaction callbacks at lines 56 and 157 as Prisma.TransactionClient. Backend compiles without TypeScript errors.
